,id,dataset_authors,sternoclavicular_rotation,sternoclavicular_translation,acromioclavicular_rotation,acromioclavicular_translation,scapulothoracic_rotation,scapulothoracic_translation,glenohumeral_rotation,glenohumeral_translation,median
0,#1,Begon et al.,0.2025,0.2025,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002
1,#2,Bourne et al.,,,,,0.2025,0.2025,0.18225000000000002,0.18225000000000002,0.19237500000000002
2,#3,Chu et al.,,,,,0.5,0.5,1.0,1.0,0.75
3,#4,Fung et al.,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.11809800000000002,0.11809800000000002,0.10628820000000004
4,#5,Gutierrez Delgado et al.,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.75
5,#6,Henninger et al.,,,,,1.0,1.0,1.0,1.0,1.0
6,#7,Karduna et al.,,,,,0.16402500000000003,0.16402500000000003,0.16402500000000003,0.16402500000000003,0.16402500000000003
7,#8,Kijima et al.,,,,,0.10628820000000004,0.10628820000000004,0.11809800000000002,0.11809800000000002,0.11219310000000003
8,#9,Kim et al.,,,,,0.10628820000000004,0.10628820000000004,0.11809800000000002,0.11809800000000002,0.11219310000000003
9,#10,Kozono et al.,,,,,0.13122000000000003,0.13122000000000003,0.16200000000000003,0.16200000000000003,0.14661000000000002
10,#11,Ludewig et al.,0.8,0.8,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004,0.36000000000000004
11,#12,Matsuki et al.,0.1458,0.1458,0.1458,0.1458,0.10628820000000004,0.10628820000000004,0.11809800000000002,0.11809800000000002,0.131949
12,#13,Matsumura et al.,,,,,1.0,1.0,1.0,1.0,1.0
13,#14,Moissenet et al.,0.4,0.4,0.4,0.4,0.8,0.8,0.8,0.8,0.6000000000000001
14,#15,Nishinaka et al.,,,,,0.10628820000000004,0.10628820000000004,,,0.10628820000000004
15,#16,Oki et al.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,#17,Sahara et al.,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,0.10628820000000004,,,0.10628820000000004
17,#18,Sugi et al.,,,,,0.10628820000000004,0.10628820000000004,0.11809800000000002,0.11809800000000002,0.11219310000000003
18,#19,Teece et al.,0.2025,0.2025,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002,0.18225000000000002
19,#20,Yoshida et al.,,,,,0.4,0.4,0.8,0.8,0.6000000000000001
