,id,dataset_authors,thorax_d1,thorax_d2,thorax_d3,clavicle_d1,clavicle_d2,clavicle_d3,scapula_d1,scapula_d2,scapula_d3,humerus_d1,humerus_d2,humerus_d3,sternoclavicular_d5,sternoclavicular_d6,acromioclavicular_d5,acromioclavicular_d6,scapulothoracic_d5,scapulothoracic_d6,glenohumeral_d5,glenohumeral_d6,thoracohumeral_d7,thorax_c1,thorax_c2,thorax_c3,humerus_c1,humerus_c2,humerus_c3,scapula_c1,scapula_c2,scapula_c3,clavicle_c1,clavicle_c2,clavicle_c3,acromioclavicular_c4,acromioclavicular_c5,thoracohumeral_d6,glenohumeral_c4,glenohumeral_c5,sternoclavicular_c4,sternoclavicular_c5,scapulothoracic_c4,scapulothoracic_c5
0,#1,Begon et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,#2,Bourne et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-,-,-,-,-,1.0,-,-,-,-,1.0,0.0
2,#3,Chu et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,1.0,-,-,-,-,1.0,0.0
3,#4,Fung et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.0,-,-,0.0,0.0,0.0,0.0
4,#5,Gutierrez Delgado et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-,-,0.0,-,-,1.0,0.0,-,-
5,#6,Henninger et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,1.0,1.0,1.0,-,-,1.0,1.0
6,#7,Karduna et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-,-,-,-,-,1.0,-,-,-,-,1.0,0.0
7,#8,Kijima et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,1.0,-,-,0.0,0.0
8,#9,Kim et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,-,-,-,-,0.0,-,-,-,-,0.0,0.0
9,#10,Kozono et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-,-,-,-,-,0.0,0.0,1.0,-,-,-,-
10,#11,Ludewig et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
11,#12,Matsuki et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-,-,0.0,0.0,1.0,0.0,0.0,0.0,0.0
12,#13,Matsumura et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,-,-,-,1.0,-,-,-,-,1.0,0.0
13,#14,Moissenet et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
14,#15,Nishinaka et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,0.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,1.0,-,-,-,-
15,#16,Oki et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-,-,1.0,-,-,1.0,0.0,1.0,0.0
16,#17,Sahara et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-,-,0.0,0.0,-,-
17,#18,Sugi et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-,-,-,-,-,0.0,0.0,1.0,-,-,0.0,0.0
18,#19,Teece et al.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,-,-,-,-,-,-
